sample_size,sequential_time,parallel_time,speedup,seq_throughput,par_throughput,efficiency
5000,1.0122442245483398,3.3544113636016846,0.30176508329660473,4939.519415120381,1490.5744877489983,3.772063541207559
10000,1.97776198387146,0.44307446479797363,4.463723687559494,5056.220152652063,22569.569664908693,55.79654609449367
15000,3.0134613513946533,0.4862227439880371,6.197697225510281,4977.664635737865,30850.058302433208,77.47121531887852
20000,3.9745471477508545,0.5120041370391846,7.76272467393496,5032.019814211474,39062.18437150902,97.034058424187
25000,4.954385042190552,0.5358598232269287,9.245673639713129,5046.034934125023,46653.9921755113,115.5709204964141
30000,5.92997145652771,0.613621711730957,9.663887934799334,5059.046273650443,48890.05624552204,120.79859918499167
35000,7.350999116897583,0.5853831768035889,12.557585199213937,4761.2575438277845,59789.89726201749,156.96981499017423
40000,8.513352632522583,0.6242721080780029,13.637246518562764,4698.501486616752,64074.62304082628,170.46558148203454
45000,8.790324211120605,0.6814737319946289,12.898991991066044,5119.26510549755,66033.35959595678,161.23739988832554
50000,10.245174407958984,0.7833123207092285,13.07929689996804,4880.346396168464,63831.499490176386,163.4912112496005
55000,11.161829948425293,0.7649188041687012,14.592176172941326,4927.507429707741,71903.05650777265,182.40220216176658
60000,11.86352801322937,0.804558277130127,14.745393031747527,5057.517454596325,74575.08263294614,184.3174128968441
65000,13.181230783462524,0.8355076313018799,15.776314051044224,4931.254225633505,77797.01532913306,197.2039256380528
70000,14.839366674423218,0.891242504119873,16.65020082169163,4717.18244692008,78542.03505377805,208.12751027114538
75000,15.18822717666626,0.9210963249206543,16.48929299329754,4938.035172085313,81424.70876372316,206.11616241621925
80000,15.669155597686768,0.9554479122161865,16.399800970145773,5105.571867051366,83730.36245841796,204.99751212682216
85000,16.822270393371582,1.0171699523925781,16.538308425059537,5052.825689539043,83565.18967166082,206.7288553132442
90000,17.712126970291138,1.1150507926940918,15.884592061942389,5081.264387442489,80713.81195339952,198.55740077427987
95000,18.942853689193726,1.084961175918579,17.459476071257402,5015.083870609969,87560.7368342637,218.24345089071753
100000,19.45935821533203,1.1167395114898682,17.425154223629868,5138.915625758407,89546.39732106162,217.81442779537335
