sample_size,sequential_time,parallel_time,speedup
5000,1.0122442245483398,3.3544113636016846,0.30176508329660473
10000,1.97776198387146,0.44307446479797363,4.463723687559494
15000,3.0134613513946533,0.4862227439880371,6.197697225510281
20000,3.9745471477508545,0.5120041370391846,7.76272467393496
25000,4.954385042190552,0.5358598232269287,9.245673639713129
30000,5.92997145652771,0.613621711730957,9.663887934799334
35000,7.350999116897583,0.5853831768035889,12.557585199213937
40000,8.513352632522583,0.6242721080780029,13.637246518562764
45000,8.790324211120605,0.6814737319946289,12.898991991066044
50000,10.245174407958984,0.7833123207092285,13.07929689996804
55000,11.161829948425293,0.7649188041687012,14.592176172941326
60000,11.86352801322937,0.804558277130127,14.745393031747527
65000,13.181230783462524,0.8355076313018799,15.776314051044224
70000,14.839366674423218,0.891242504119873,16.65020082169163
75000,15.18822717666626,0.9210963249206543,16.48929299329754
80000,15.669155597686768,0.9554479122161865,16.399800970145773
85000,16.822270393371582,1.0171699523925781,16.538308425059537
90000,17.712126970291138,1.1150507926940918,15.884592061942389
95000,18.942853689193726,1.084961175918579,17.459476071257402
100000,19.45935821533203,1.1167395114898682,17.425154223629868
